,FSA,med_fulltime_income,income_100k_up,med_total_household_income,income_40k,occup_cat_snr_mgmt,occup_cat_busfin,occup_ind_realestate,work_loc_home,work_loc_workplace,work_loc_notfixed,school_uni_degree,school_hs,commute_start_noon,edu_field_science,edu_field_bus_admin,edu_field_health,edu_field_pers_protect_transp,commute_transp_carpass,commute_start_6am,commute_start_9am,condo,worktype_selfemp,indigenous_ppl,married_ppl,work_loc_foreign,can_citizen_ppl,non_citizen_ppl,TotalEV,TotalEV_Category
300,M5A,81000,0.1431254849115929,71000,0.0719710890603944,0.011535791579893,0.153640409979991,0.0154150843235738,0.2740005716852464,0.2098901547633631,0.0411409204132467,0.3813957286945159,0.1020866511494957,0.0370574543672669,0.0192943770672546,0.1333251664012413,0.0483890726448609,0.0171505573931152,0.010719098370697,0.0263383559965698,0.0551267916207276,0.4787268913071981,0.0934092858017885,0.0204173302298991,0.366797337580138,0.0022459063252889,0.8146514761729756,0.1537424966311405,64.92711013107926,Medium
301,M5B,74000,0.1113534611410859,58000,0.0766272528986339,0.0097577775226724,0.1592813683848008,0.0117667317185168,0.3154058087475606,0.2132361382160486,0.0264033980025255,0.4491447594994834,0.0683044426587073,0.0364481689817472,0.0309952933073125,0.1432097348180461,0.0596946389622316,0.01061875789232,0.0100447709792216,0.0258294110894271,0.052806796005051,0.5634610970851504,0.0789232005510274,0.0088967971530249,0.3228676386178395,0.003156928022041,0.6807484789346803,0.2999081620939042,34.43921478590288,Low
302,M5C,87000,0.2143537630993966,89000,0.0635122261035249,0.0095268339155287,0.193712289615751,0.0095268339155287,0.3509050492219752,0.2159415687519847,0.039695141314703,0.5112734201333756,0.0619244204509368,0.0349317243569387,0.0301683073991743,0.1698952048269291,0.0635122261035249,0.0238170847888218,0.0063512226103524,0.0301683073991743,0.0476341695776436,0.6851691240242844,0.0968561448078755,0.0111146395681168,0.4175928866306764,0.0,0.811368688472531,0.1587805652588123,171.4830104795173,High
303,M5E,96000,0.2678495627812208,98000,0.0607012479836998,0.0216486968333474,0.2759147635622718,0.0229221495882502,0.4304270311571441,0.2237032006112573,0.0182528228202733,0.5900331097716275,0.0628236692418711,0.0182528228202733,0.0297138976143985,0.2776127005688089,0.0500891416928431,0.0093386535359538,0.0063672637745139,0.0216486968333474,0.0492401731895746,0.8070579674993936,0.110790389676543,0.0046693267679769,0.4609898972748111,0.0042448425163426,0.8082180151116394,0.2130910943204007,84.04788182358433,Medium
304,M5G,76500,0.1292175161521895,67500,0.0769151881858271,0.0071787508973438,0.1553686801353707,0.0076915188185827,0.3020203056096811,0.2410009229822582,0.02666393190442,0.5343041739308789,0.0507640242026458,0.0292277715106142,0.0610193826274228,0.1497282330017434,0.1199876935698902,0.0061532150548661,0.0076915188185827,0.0297405394318531,0.0548661675725566,0.6564323423173104,0.0733258127371551,0.0143575017946877,0.3768844221105528,0.0061532150548661,0.6266023997538714,0.3532970977335657,107.68126346015794,High
305,M5H,92000,0.2262931034482758,90000,0.0569581280788177,0.0323275862068965,0.2386083743842364,0.021551724137931,0.4156403940886699,0.2062807881773399,0.0184729064039408,0.5988300492610837,0.0508004926108374,0.0184729064039408,0.0354064039408867,0.2478448275862069,0.0615763546798029,0.0,0.0061576354679802,0.021551724137931,0.0523399014778325,0.8301486199575372,0.0939039408866995,0.0046182266009852,0.3817733990147783,0.0092364532019704,0.6557881773399015,0.3278940886699507,369.45812807881777,High
306,M5J,88000,0.2405355767521772,94000,0.0648735114639492,0.0165886604656674,0.2452751940280822,0.0236980863795248,0.4422655370578826,0.1842526216008057,0.0251792167782451,0.5699389774275727,0.0485810770780259,0.0156999822264352,0.029326381894662,0.2411280289116653,0.0405829729249363,0.0079981041530896,0.0065169737543693,0.0180697908643877,0.0548018247526512,0.8106975184439973,0.1030866757509331,0.0068131998341133,0.4449315717755791,0.0056282955151371,0.6869482789264767,0.2805260975176255,89.46027608270633,Medium
307,M5M,118000,0.2657383800745244,164000,0.0488331045303,0.0302020003922337,0.1433614434202784,0.0266718964502843,0.2406354187095508,0.2076877819180231,0.0239262600509903,0.379093939988233,0.0588350656991567,0.0188272210237301,0.0194155716807217,0.1435575603059423,0.0564816630711904,0.0064718572269072,0.0105903118258482,0.0225534418513434,0.0590311825848205,0.0796833230516142,0.1429692096489507,0.0045106883702686,0.4944106687585801,0.0029417532849578,0.9317513237889782,0.0764855854089037,185.91880760933515,High
308,M5N,85000,0.2138789154389005,110000,0.0649993809582765,0.0225950229045437,0.1238083446824316,0.0253807106598984,0.223474062151789,0.2268787916305559,0.023523585489662,0.3361396558128018,0.0764516528414015,0.0334282530642565,0.0167141265321282,0.1117370310758945,0.0584994428624489,0.0089761049894762,0.0145474805001857,0.0259997523833106,0.0507614213197969,0.0661808447352766,0.1420700755230902,0.0058808963724155,0.4652098551442367,0.0030952086170607,0.861706078989724,0.1324749288102018,129.99876191655318,High
309,M5P,79500,0.2331868020817543,99000,0.0714971451669951,0.0267798494265069,0.1477944520236471,0.030064170582588,0.271840735687939,0.2144914355009853,0.0315800111161639,0.3774442928603911,0.0634126623212571,0.0237481683593552,0.0212217674700621,0.1114142792178262,0.0517912182305088,0.0085897630235965,0.0118740841796776,0.0217270476479207,0.0704865848112778,0.17231448593645,0.1594158961143954,0.0058107220453741,0.4729422464756707,0.0015158405335758,0.8751452680511344,0.1210146025971401,161.18437673690062,High
